Uniprot	PDB
P00734	1A2C
P00734	1A3B
P00734	1A3E
P00734	1A46
P00734	1A4W
P00734	1A5G
P00734	1A61
P00734	1ABI
P00734	1ABJ
P00734	1AD8
P00734	1AE8
P00734	1AFE
P00734	1AHT
P00734	1AI8
P00734	1AIX
P00734	1AWF
P00734	1AWH
P00734	1AY6
P00734	1B5G
P00734	1B7X
P00734	1BA8
P00734	1BB0
P00734	1BCU
P00734	1BHX
P00734	1BMM
P00734	1BMN
P00734	1BTH
P00734	1C1U
P00734	1C1V
P00734	1C1W
P00734	1C4U
P00734	1C4V
P00734	1C4Y
P00734	1C5L
P00734	1C5N
P00734	1C5O
P00734	1CA8
P00734	1D3D
P00734	1D3P
P00734	1D3Q
P00734	1D3T
P00734	1D4P
P00734	1D6W
P00734	1D9I
P00734	1DE7
P00734	1DIT
P00734	1DM4
P00734	1DOJ
P00734	1DWB
P00734	1DWC
P00734	1DWD
P00734	1DWE
P00734	1DX5
P00734	1E0F
P00734	1EB1
P00734	1EOJ
P00734	1EOL
P00734	1FPC
P00734	1FPH
P00734	1G30
P00734	1G32
P00734	1G37
P00734	1GHV
P00734	1GHW
P00734	1GHX
P00734	1GHY
P00734	1GJ4
P00734	1GJ5
P00734	1H8D
P00734	1H8I
P00734	1HAG
P00734	1HAH
P00734	1HAI
P00734	1HAO
P00734	1HAP
P00734	1HBT
P00734	1HDT
P00734	1HGT
P00734	1HLT
P00734	1HUT
P00734	1HXE
P00734	1HXF
P00734	1IHS
P00734	1IHT
P00734	1JMO
P00734	1JOU
P00734	1JWT
P00734	1K21
P00734	1K22
P00734	1KTS
P00734	1KTT
P00734	1LHC
P00734	1LHD
P00734	1LHE
P00734	1LHF
P00734	1LHG
P00734	1MH0
P00734	1MU6
P00734	1MU8
P00734	1MUE
P00734	1NM6
P00734	1NO9
P00734	1NRN
P00734	1NRO
P00734	1NRP
P00734	1NRQ
P00734	1NRR
P00734	1NRS
P00734	1NT1
P00734	1NU7
P00734	1NU9
P00734	1NY2
P00734	1NZQ
P00734	1O0D
P00734	1O2G
P00734	1O5G
P00734	1OOK
P00734	1OYT
P00734	1P8V
P00734	1PPB
P00734	1QBV
P00734	1QHR
P00734	1QJ1
P00734	1QJ6
P00734	1QJ7
P00734	1QUR
P00734	1RD3
P00734	1RIW
P00734	1SB1
P00734	1SFQ
P00734	1SG8
P00734	1SGI
P00734	1SHH
P00734	1SL3
P00734	1SR5
P00734	1T4U
P00734	1T4V
P00734	1TA2
P00734	1TA6
P00734	1TB6
P00734	1TBZ
P00734	1THP
P00734	1THR
P00734	1THS
P00734	1TMB
P00734	1TMT
P00734	1TMU
P00734	1TOM
P00734	1TQ0
P00734	1TQ7
P00734	1TWX
P00734	1UMA
P00734	1UVS
P00734	1VR1
P00734	1VZQ
P00734	1W7G
P00734	1WAY
P00734	1WBG
P00734	1XM1
P00734	1XMN
P00734	1YPE
P00734	1YPG
P00734	1YPJ
P00734	1YPK
P00734	1YPL
P00734	1YPM
P00734	1Z71
P00734	1Z8I
P00734	1Z8J
P00734	1ZGI
P00734	1ZGV
P00734	1ZRB
P00734	2A0Q
P00734	2A2X
P00734	2A45
P00734	2AFQ
P00734	2ANK
P00734	2ANM
P00734	2B5T
P00734	2BDY
P00734	2BVR
P00734	2BVS
P00734	2BVX
P00734	2BXT
P00734	2BXU
P00734	2C8W
P00734	2C8X
P00734	2C8Y
P00734	2C8Z
P00734	2C90
P00734	2C93
P00734	2CF8
P00734	2CF9
P00734	2CN0
P00734	2FEQ
P00734	2FES
P00734	2GDE
P00734	2GP9
P00734	2H9T
P00734	2HGT
P00734	2HNT
P00734	2HPP
P00734	2HPQ
P00734	2HWL
P00734	2JH0
P00734	2JH5
P00734	2JH6
P00734	2OD3
P00734	2PGB
P00734	2PGQ
P00734	2PKS
P00734	2PW8
P00734	2R2M
P00734	2THF
P00734	2UUF
P00734	2UUJ
P00734	2UUK
P00734	2V3H
P00734	2V3O
P00734	2ZC9
P00734	2ZDA
P00734	2ZDV
P00734	2ZF0
P00734	2ZFF
P00734	2ZFP
P00734	2ZFQ
P00734	2ZFR
P00734	2ZG0
P00734	2ZGB
P00734	2ZGX
P00734	2ZHE
P00734	2ZHF
P00734	2ZHQ
P00734	2ZHW
P00734	2ZI2
P00734	2ZIQ
P00734	2ZNK
P00734	2ZO3
P00734	3B23
P00734	3B9F
P00734	3BEF
P00734	3BEI
P00734	3BF6
P00734	3BIU
P00734	3BIV
P00734	3BV9
P00734	3C1K
P00734	3C27
P00734	3D49
P00734	3DA9
P00734	3DD2
P00734	3DHK
P00734	3DT0
P00734	3DUX
P00734	3E6P
P00734	3EE0
P00734	3EGK
P00734	3EQ0
P00734	3F68
P00734	3GIC
P00734	3GIS
P00734	3HAT
P00734	3HKJ
P00734	3HTC
P00734	3JZ1
P00734	3JZ2
P00734	3K65
P00734	3LDX
P00734	3LU9
P00734	3NXP
P00734	3P17
P00734	3P6Z
P00734	3P70
P00734	3PMH
P00734	3PO1
P00734	3QDZ
P00734	3QGN
P00734	3QLP
P00734	3QTO
P00734	3QTV
P00734	3QWC
P00734	3QX5
P00734	3R3G
P00734	3RLW
P00734	3RLY
P00734	3RM0
